Input,UnstructuredText,StructuredText,Material,Colour,Weight,Volume,Length,Width,Height,Parts
"Rolson 10019 Stubby Claw Hammer
Extra strong high grade carbon steel
Soft rubber grip
Magnetized nail holder
Brand Rolson
Model Number 10019-BPSTL12218
Colour Not_applicable
Product Dimensions 14 x 3.5 x 22 cm; 283.5 Grams
Item Weight 284 g
","Rolson 10019 Stubby Claw Hammer
Extra strong high grade carbon steel
Soft rubber grip
Magnetized nail holder
","Brand Rolson
Model Number 10019-BPSTL12218
Colour Not_applicable
Product Dimensions 14 x 3.5 x 22 cm; 283.5 Grams
Item Weight 284 g
",metal,other,284g,other,14,3.5,22,other
"Blue Spot 26119 16oz Sandblasted Claw Hammer X/R
Steel tubular shaft for high shock absorption
Contoured handle for a secure grip
Beveled striking face to avoid chipping
Manufacturer Blue Spot Tools
Part Number 26119
Product Dimensions 12.5 x 31.5 x 2.01 cm; 648.64 Grams
Item model number 26119
Size 16oz
Item Package Quantity 1
Number Of Pieces 1
Batteries included? No
Batteries Required? No
Item Weight 649 g
","Blue Spot 26119 16oz Sandblasted Claw Hammer X/R
Steel tubular shaft for high shock absorption
Contoured handle for a secure grip
Beveled striking face to avoid chipping
","Manufacturer Blue Spot Tools
Part Number 26119
Product Dimensions 12.5 x 31.5 x 2.01 cm; 648.64 Grams
Item model number 26119
Size 16oz
Item Package Quantity 1
Number Of Pieces 1
Batteries included? No
Batteries Required? No
Item Weight 649 g
",metal,other,649g,16oz,12.5,31.5,2.01,handle
"Estwing EB/19S 19 Oz Black Vinyl Gripped Ultra Framing Hammer 19oz, Multi
Sleek new profile make this hammer lighter and more aerodynamic
Solid forged from one piece of American Steel for ultimate durability and strength
Magnetic nail starter allow for one handed, fast and accurate nailing
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
Manufacturer Estwing
Part Number EB/19S
Product Dimensions 39.04 x 14.71 x 4.22 cm; 983 Grams
Item model number EB-19S
Size 19oz
Colour Multi
Style Smooth Face
Item Package Quantity 1
Number Of Pieces 1
Number of handles 1
Batteries included? No
Batteries Required? No
Item Weight 983 g
","Estwing EB/19S 19 Oz Black Vinyl Gripped Ultra Framing Hammer 19oz, Multi
Sleek new profile make this hammer lighter and more aerodynamic
Solid forged from one piece of American Steel for ultimate durability and strength
Magnetic nail starter allow for one handed, fast and accurate nailing
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
","Manufacturer Estwing
Part Number EB/19S
Product Dimensions 39.04 x 14.71 x 4.22 cm; 983 Grams
Item model number EB-19S
Size 19oz
Colour Multi
Style Smooth Face
Item Package Quantity 1
Number Of Pieces 1
Number of handles 1
Batteries included? No
Batteries Required? No
Item Weight 983 g
",metal,other,983g,19oz,39.04,14.71,4.22,handle
"Amtech A0240 8oz Claw Hammer - Fibreglass Shaft
Drop forged, hardened and tempered polished head
Fibreglass handle
Rubber grip on handle
Am-Tech branded
Ideal gift
Manufacturer DK Tools LTD
Part Number A0240
Product Dimensions 29 x 11 x 2.5 cm; 320 Grams
Item model number AM-A0240
Size One Size
Colour Transparent
Style 8oz Claw Hammer
Material Plastic, Metal
Item Package Quantity 1
Measurement System Metric
Usage Amateur, Professional
Included Components Amtech A0240 8Oz Claw Hammer - Fibreglass Shaft
Batteries included? No
Batteries Required? No
Item Weight 320 g
","Amtech A0240 8oz Claw Hammer - Fibreglass Shaft
Drop forged, hardened and tempered polished head
Fibreglass handle
Rubber grip on handle
Am-Tech branded
Ideal gift
","Manufacturer DK Tools LTD
Part Number A0240
Product Dimensions 29 x 11 x 2.5 cm; 320 Grams
Item model number AM-A0240
Size One Size
Colour Transparent
Style 8oz Claw Hammer
Material Plastic, Metal
Item Package Quantity 1
Measurement System Metric
Usage Amateur, Professional
Included Components Amtech A0240 8Oz Claw Hammer - Fibreglass Shaft
Batteries included? No
Batteries Required? No
Item Weight 320 g
",plastic,other,320g,8oz,29,11,2.5,handle
"Claw Hammer 16Oz -25mm Fiberglass Handle Heat Treated Carbon Steel Polished Patented Soft Grip Handle
16Oz [450g] hammer head weight- perfect for most job- Tool box essential
British Standard 25mm Face Diameter- Curved for prying nails
Fiberglass Handle give the hammer durability, lightweight, absorbs shocks & vibrations to reduce user fatigue
Manufacturer Tolsen Tools
Package Dimensions 33.2 x 12.6 x 3 cm; 453.59 Grams
Colour Multi
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 453 g
","Claw Hammer 16Oz -25mm Fiberglass Handle Heat Treated Carbon Steel Polished Patented Soft Grip Handle
16Oz [450g] hammer head weight- perfect for most job- Tool box essential
British Standard 25mm Face Diameter- Curved for prying nails
Fiberglass Handle give the hammer durability, lightweight, absorbs shocks & vibrations to reduce user fatigue
","Manufacturer Tolsen Tools
Package Dimensions 33.2 x 12.6 x 3 cm; 453.59 Grams
Colour Multi
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 453 g
",metal,other,453g,16oz,33.2,12.6,3,handle
"Hilka 60201500 Pro Craft Fibre Glass Shaft Claw Hammer, 8 oz
Claw hammer with a comfortable rubber grip
Hardened, tempered and polished head with fibre glass shaft
8oz head
Manufacturer Hilka Tools (UK) Ltd
Part Number 60201500
Product Dimensions 28.6 x 10.8 x 1.8 cm; 360 Grams
Item model number 60201500
Style Contemporary
Material Glass
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 360 g
","Hilka 60201500 Pro Craft Fibre Glass Shaft Claw Hammer, 8 oz
Claw hammer with a comfortable rubber grip
Hardened, tempered and polished head with fibre glass shaft
8oz head
","Manufacturer Hilka Tools (UK) Ltd
Part Number 60201500
Product Dimensions 28.6 x 10.8 x 1.8 cm; 360 Grams
Item model number 60201500
Style Contemporary
Material Glass
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 360 g
",glass,other,360g,8oz,28.6,10.8,1.8,other
"Faithfull FAIFG4 4lb Fibreglass Club Hammer 1.81 kg (4lb)
A general purpose hammer for building and demolition applications. Ideal for delivering close heavy blows to a cold chisel or a bolster
The striking faces are specially hardened and heat treated before being precision ground and fitted to a fibreglass handle
Manufactured in accordance to BS876
Faithfull 5 Year Manifacturers Guarantee
Manufacturer Faithfull
Part Number FAIFG4
Product Dimensions 5 x 5 x 11 cm; 1.99 Kilograms
Item model number FAIFG4
Size Fibreglass 1.8kg (4lb)
Colour Fibreglass
Style Club Hammer/4.Lb
Item Package Quantity 1
Number Of Pieces 1
Handle material Fibreglass
Blade edge Forged Steel
Included Components 1 x Club Hammer
Batteries included? No
Batteries Required? No
Item Weight 1.99 kg
","Faithfull FAIFG4 4lb Fibreglass Club Hammer 1.81 kg (4lb)
A general purpose hammer for building and demolition applications. Ideal for delivering close heavy blows to a cold chisel or a bolster
The striking faces are specially hardened and heat treated before being precision ground and fitted to a fibreglass handle
Manufactured in accordance to BS876
Faithfull 5 Year Manifacturers Guarantee
","Manufacturer Faithfull
Part Number FAIFG4
Product Dimensions 5 x 5 x 11 cm; 1.99 Kilograms
Item model number FAIFG4
Size Fibreglass 1.8kg (4lb)
Colour Fibreglass
Style Club Hammer/4.Lb
Item Package Quantity 1
Number Of Pieces 1
Handle material Fibreglass
Blade edge Forged Steel
Included Components 1 x Club Hammer
Batteries included? No
Batteries Required? No
Item Weight 1.99 kg
",plastic,other,1.99kg,other,5,5,11,handle
"Stanley FMHT1-51278 20oz Fatmax Antivibe Steel Hammer-Rip Claw, Black/Yellow, 570g
Larger Strike Face
New Soft Grip Design
Precision Balanced Heads
Model number: FMHT1-51278
Manufacturer Stanley
Part Number FMHT1-51278
Product Dimensions 34.01 x 14 x 3.99 cm; 806.03 Grams
Item model number FMHT1-51278
Size 570g (20oz)
Colour Black/Yellow
Style Single
Item Package Quantity 1
Measurement System Metric
Included Components Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 806 g
","Stanley FMHT1-51278 20oz Fatmax Antivibe Steel Hammer-Rip Claw, Black/Yellow, 570g
Larger Strike Face
New Soft Grip Design
Precision Balanced Heads
Model number: FMHT1-51278
","Manufacturer Stanley
Part Number FMHT1-51278
Product Dimensions 34.01 x 14 x 3.99 cm; 806.03 Grams
Item model number FMHT1-51278
Size 570g (20oz)
Colour Black/Yellow
Style Single
Item Package Quantity 1
Measurement System Metric
Included Components Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 806 g
",metal,black,806g,20oz,34.01,14,3.99,other
"Rolson 10675 Stoning Hammer, 1 kg
Stoning Hammer
Fibreglass shaft
Rubber grip
Weight: 1kg
Ideal for camping
Manufacturer Rolson Tools
Part Number 10675
Product Dimensions 9.3 x 3.9 x 25 cm; 997.9 Grams
Item model number 10675
Size 1 kg
Item Package Quantity 1
Batteries included? Yes
Batteries Required? No
Item Weight 998 g
","Rolson 10675 Stoning Hammer, 1 kg
Stoning Hammer
Fibreglass shaft
Rubber grip
Weight: 1kg
Ideal for camping
","Manufacturer Rolson Tools
Part Number 10675
Product Dimensions 9.3 x 3.9 x 25 cm; 997.9 Grams
Item model number 10675
Size 1 kg
Item Package Quantity 1
Batteries included? Yes
Batteries Required? No
Item Weight 998 g
",plastic,other,998g,other,9.3,3.9,25,other
"Estwing ESTE316S 16 oz 16"" All Steel Framing Hammer, Smooth Face 16OZ Vinyl STL, Multi, (Ounces)
Solid forged from one piece of American Steel for ultimate durability and strength
Versatile rip claw used for pulling nails, prying boards, demolition work and splitting wood
Smooth faced hammer head, perfect for interior and finish work
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
Manufacturer Estwing
Part Number E3-16S
Product Dimensions 33.02 x 15.24 x 2.54 cm; 453.59 Grams
Item model number GGE316S
Size 16 oz (Ounces)
Colour Multi
Material Forged
Power Source Corded-electric
Item Package Quantity 1
Measurement System Metric
Included Components Hammers, Handtools, Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 454 g
","Estwing ESTE316S 16 oz 16"" All Steel Framing Hammer, Smooth Face 16OZ Vinyl STL, Multi, (Ounces)
Solid forged from one piece of American Steel for ultimate durability and strength
Versatile rip claw used for pulling nails, prying boards, demolition work and splitting wood
Smooth faced hammer head, perfect for interior and finish work
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
","Manufacturer Estwing
Part Number E3-16S
Product Dimensions 33.02 x 15.24 x 2.54 cm; 453.59 Grams
Item model number GGE316S
Size 16 oz (Ounces)
Colour Multi
Material Forged
Power Source Corded-electric
Item Package Quantity 1
Measurement System Metric
Included Components Hammers, Handtools, Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 454 g
",metal,other,454g,16oz,33.02,15.24,2.54,other
"Blue Spot 26147 20oz Xtra-Range Sandblasted Claw Hammer
20oz Claw Hammer
70% Fibreglass Handle
Xtra range
Hardened Steel Handle
Professional quality
Manufacturer Blue Spot Tools
Part Number 26147
Product Dimensions 13 x 32 x 2.49 cm; 748.43 Grams
Item model number 26147
Colour Multi
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 748 g
","Blue Spot 26147 20oz Xtra-Range Sandblasted Claw Hammer
20oz Claw Hammer
70% Fibreglass Handle
Xtra range
Hardened Steel Handle
Professional quality
","Manufacturer Blue Spot Tools
Part Number 26147
Product Dimensions 13 x 32 x 2.49 cm; 748.43 Grams
Item model number 26147
Colour Multi
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 748 g
",metal,other,748g,20oz,13,32,2.49,handle
"Spifflyer 8 OZ Magnetic Small Claw Hammer Mini Stubby Hammers and Nails Tool, Comfortable Soft Handle, Anti-Slip & Magnetic Head
ANTI-SLIP - Grid shaped striking surface will prevent slipping injury
MAGNETIC HEAD - Nail holded for one-handed working
HANDY - Mini and portable for household and outdoor DIY events
DURABLE - Alloy steel drop forged and heat treated
COMFORTABLE HANDLE - Soft & Non-slip, double colored
Manufacturer SPIFFLYER
Package Dimensions 16.5 x 12.5 x 4.4 cm; 370 Grams
Manufacturer reference 0
Size Anti-Slip & Magnetic Stubby
Material Carbon Steel
Batteries included? No
Batteries Required? No
Item Weight 370 g
","Spifflyer 8 OZ Magnetic Small Claw Hammer Mini Stubby Hammers and Nails Tool, Comfortable Soft Handle, Anti-Slip & Magnetic Head
ANTI-SLIP - Grid shaped striking surface will prevent slipping injury
MAGNETIC HEAD - Nail holded for one-handed working
HANDY - Mini and portable for household and outdoor DIY events
DURABLE - Alloy steel drop forged and heat treated
COMFORTABLE HANDLE - Soft & Non-slip, double colored
","Manufacturer SPIFFLYER
Package Dimensions 16.5 x 12.5 x 4.4 cm; 370 Grams
Manufacturer reference 0
Size Anti-Slip & Magnetic Stubby
Material Carbon Steel
Batteries included? No
Batteries Required? No
Item Weight 370 g
",metal,other,370g,8oz,16.5,12.5,4.4,handle
"Estwing E6-22BLC Bricklayer Hammer, Big Blue Rock Pick with Shock Reduction Grip, Smooth Face, 22-Ounce
Nylon vinyl shock reduction grip
Larger smooth face
Patented nylon end cap
Unsurpassed balance
Double tempered for added strength
Manufacturer Estwing
Part Number E6-22BLC
Product Dimensions 25.4 x 4.57 x 20.83 cm; 453.59 Grams
Item model number E6-22BLC
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 454 g
","Estwing E6-22BLC Bricklayer Hammer, Big Blue Rock Pick with Shock Reduction Grip, Smooth Face, 22-Ounce
Nylon vinyl shock reduction grip
Larger smooth face
Patented nylon end cap
Unsurpassed balance
Double tempered for added strength
","Manufacturer Estwing
Part Number E6-22BLC
Product Dimensions 25.4 x 4.57 x 20.83 cm; 453.59 Grams
Item model number E6-22BLC
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 454 g
",other,other,454g,22oz,25.4,4.57,20.83,other
